scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
300196,长海股份,0.65,1.24,1767919840,16.61245445,257627306.1,20.64354838,-7.6537,14.9,10.69453741,1.55126981,31.87995141,材料行业
601179,中国西电,0.22,0.207,14173821478,6.2714462,1127890759,24.77024114,28.2388,6.07,3.70557829,0.13157541,29.37366287,输配电气
603817,海峡环保,0.2859,0.2802,330302235.1,17.7286498,96495716.42,13.02691887,68.6911,10.98,2.74802805,0.70641555,47.55504409,环保工程
300493,润欣科技,0.16,0.38,1538917302,34.5912562,49313804.73,19.68811572,22.8166,10.68,3.96417936,-2.08336658,10.65795878,电子信息
603808,歌力思,0.82,0.77,1132063281,35.52941799,197950569.5,23.84012437,158.9629,12.29,6.99389906,0.40718227,68.95762466,纺织服装
603822,嘉澳环保,0.6379,0.5827,506196445.6,-1.09716551,42887907.18,10.37875107,42.2798,7.78,8.64047418,0.68254812,21.50279692,化工行业
300699,光威复材,0.72,0.65,633468298.5,16.63682233,199343046,13.01060612,"""-""",15.19,5.11712819,0.07494359,60.96903166,化工行业
600792,云煤能源,0.05,-0.3,3375166042,-15.25343991,48542597.11,105.6927283,712.2834,1.65,3.00248253,0.63479198,11.29359337,煤炭采选
981,银亿股份,0.19,0.03,9839173504,-4.75256708,682092237.8,-2.51039439,-105.5561,5.57,4.99727039,0.16733009,33.47391133,房地产
600084,中葡股份,0.0113,-0.1182,264634159.4,-12.70255794,12725217.74,-17.95620744,467.8885,0.5212,2.16572778,-0.0881895,61.02324059,酿酒行业
600563,法拉电子,1.73,1.68,1521163634,9.16933787,389554487.6,18.77913106,20.8675,19.51,9.32462067,2.06265103,42.46267449,电子元件
2051,中工国际,1.15,1.39,8066153041,-0.66241216,1279607294,21.76601668,90.4225,19.55,7.69497965,-0.8579708,21.77467224,工程建设
300164,通源石油,0.05,0.03,399863958.6,-37.0877638,21974364.47,147.3196562,-35.2349,1.59,3.39024051,-0.03497757,45.67896325,石油行业
2313,日海通讯,0.22,0.01,2706793456,-5.66188137,67465795.37,333.0619277,20.9125,3.45,6.43630513,0.95591782,21.50409086,通讯行业
2638,勤上股份,-0.43,-0.4444,843107323.5,-0.81450233,-427438169.8,-2160.659898,-4060.1347,-8.42,3.34465155,0.08678543,32.50426548,电子元件
2474,榕基软件,0.0399,0.0199,702592311.9,12.66677306,24845319.23,56.94462598,7.2778,1.8,2.25593963,0.09189153,32.47997404,软件服务
300218,安利股份,0.269,0.187,1404880337,2.09218842,58379058.3,5.56351418,-30.707,5.92,4.64036405,0.78707258,21.96757984,化工行业
2353,杰瑞股份,0.13,0.08,2833829957,0.25677533,120674141.5,-16.64697262,774.1858,1.54,8.20054452,0.36164719,26.53556588,机械行业
2099,海翔药业,0.15,0.28,2433862072,-1.24299116,225018251.8,-56.44137994,-260.6142,5.79,2.93800419,0.38786659,43.77995296,医药制造
2062,宏润建设,0.21,0.19,8797774966,3.40610283,232994588.2,10.35909789,25.7601,9.53,2.2935448,1.79552528,11.40986541,工程建设
430005,原子高科,1.27,1.23,757893679,6.89384869,168146716,15.66103472,"""-""",29.51,4.68,0.81452847,61.43257957,-
2320,海峡股份,0.33,0.31,775265653.4,10.13891393,138298325,33.75748427,16.9645,5.1,7.87153571,0.80167673,36.56260312,港口水运
510,金路集团,0.0953,0.0833,1534154238,-5.30433805,58074772.25,313.1049753,308.3853,7.48,1.31902545,0.42741231,17.0497165,化工行业
702,正虹科技,0.0076,-0.0136,1229990208,-6.59816213,2024489.66,-58.54240749,5073.9702,0.44,1.71657262,0.23787452,9.78844747,农牧饲渔
