scode,sname,b,c,t,y,p,st,sh,r,mg,bps,xsmll,pn
831988,乐普四方,-0.02,"""-""",29975319.85,"""-""",-3896019.26,"""-""","""-""",-0.68,0,0.21278965,6.33899518,-
547,航天发展,0.04,"""-""",416906624.6,17.9634893,62007383.9,25.30364812,-35.096,0.98,3.68585835,-0.18395509,42.55035722,通讯行业
600696,ST匹凸,0.01,"""-""",47873374.53,139529.5121,2516725.36,113.6147559,101.2287,5.51,0.76458476,0.12262044,10.31312582,房地产
400064,国恒3,-0.0042,"""-""",1698318.44,1.52135357,-6231458.85,15.7787038,99.736,"""-""",-1.83422626,-0.00030409,-312.5570026,-
300275,梅安森,0.165,"""-""",158876282.5,803.947759,27416087.77,232.1439841,178.7985,5.33,3.1847428,0.05444664,36.55364489,仪器仪表
755,*ST三维,-0.3,"""-""",607401844.7,-24.67821902,-139352679.2,1.97699882,43.0121,-29.65,0.85467555,-0.18126443,-2.53885941,化工行业
872359,安友农场,-0.03,-0.02,11374796.84,"""-""",-595614.59,"""-""","""-""",-1.9,1.43859631,0.01604968,17.23656385,-
872384,安通招商,-0.02,-0.07,796382.88,"""-""",-121252.57,"""-""","""-""",-1.34,1.79248366,0.44593115,12.76445571,-
872382,瑞智华胜,0.29,0.28,5842556.5,"""-""",1427671.53,"""-""","""-""",9.09,3.28510211,-0.15939377,58.94420259,-
872358,轩慧科技,0.01,0.02,18627225.42,"""-""",673683.15,"""-""","""-""",1.07,1.26165398,-0.03222897,28.59676473,-
872350,宇德科技,0.0851,0.08,3022227.6,"""-""",425335.64,"""-""","""-""",7.97,1.11032746,0.00411866,85.21184771,-
872357,山东通航,-0.19,-0.19,18295084.86,"""-""",-6216622.42,"""-""","""-""",-2.79,6.79196803,-0.26311398,-2.69018965,-
872377,徽生源,0.16,0.16,9184635.96,"""-""",1645460.65,"""-""","""-""",11.04,1.30431946,-0.2516693,33.08857698,-
872356,习尚喜,0.01,0.01,13651021.21,"""-""",348739.67,"""-""","""-""",1.11,1.05937733,0.19624634,17.97661232,-
872355,晋坤股份,0.02,0.0186,23814076.88,"""-""",2215399.05,"""-""","""-""",1.97,1.05584524,-0.01185082,36.54106831,-
872349,御龙渔业,-0.0095,-0.0095,464954.86,"""-""",-848807.71,"""-""","""-""",-0.87,1.08822937,-0.01216007,68.98562153,-
872354,富泰科技,0.46,0.46,47689623.19,"""-""",11647974.1,"""-""","""-""",15.76,3.1359716,0.02716997,45.10750069,-
872343,思源软件,-0.21,-0.21,4535004.28,"""-""",-4159834.28,"""-""","""-""",-21.25,0.87485164,-0.13033858,42.78815124,-
